@relation basefightstraining
@attribute fight_outcome {D,L,W}

@attribute fight_country {Japan,Philippines,Nicaragua,Thailand,Panama,Indonesia,Mexico,Argentina,'United Kingdom','South Africa',Brazil,France,Australia,USA,'Costa Rica',Ecuador,Colombia,Bolivia,Belgium,China,Canada,Tanzania,Spain,Chile,Russia,'Dominican Republic',Belarus,Italy,Kyrgyzstan,Kazakhstan,Venezuela,Namibia,Monaco,Laos,Georgia,Finland,Switzerland,Hungary,Germany,'Czech Republic','New Zealand',Croatia,'Puerto Rico',Singapore,Poland,Denmark,Macedonia,Ukraine,Ireland,Latvia,Slovakia,Austria,'Bosnia And Herzegovina',Slovenia,Azerbaijan,Honduras,Peru,Romania,'South Korea','United Arab Emirates',Haiti,Luxembourg,Estonia,Turkey,Netherlands,Greece,Martinique,Albania,'Trinidad And Tobago','French Polynesia',Sweden,Uruguay,Kenya,Kosovo,Serbia,Morocco,Ghana,Egypt,Uganda,Portugal,'Congo (Democratic Republic Of The)',Montenegro,Moldova,Lithuania,Algeria,Guyana,Fiji,Bulgaria,Aruba,Timor-Leste,Malta,'U.S. Virgin Islands','New Caledonia',Paraguay,Uzbekistan,Benin}

@attribute fight_scheduled {3,4,5,6,8,9,10,11,12}

@attribute fight_division {bantamweight,cruiserweight,featherweight,flyweight,heavyweight,'light flyweight','light heavyweight',lightweight,middleweight,minimumweight,'super bantamweight','super featherweight','super flyweight','super lightweight','super middleweight','super welterweight',welterweight}

@attribute boxer_localOvisitante {LOCAL,VISITANTE}
@attribute boxer_years_since_debut numeric

@attribute boxer_stance {orthodox,southpaw}
@attribute boxer_fights numeric

@attribute boxer_won numeric
@attribute Boxer_last_6_score numeric
@attribute boxer_last2 {'{w,l}','{d,l}','{l,w}','{l,l}','{w,w}','{w,d}','{d,w}','{d,d}','{l,d}'}
@attribute opponent_localOvisitante {LOCAL,VISITANTE}

@attribute opponent_years_since-debut numeric

@attribute opponent_stance {southpaw,orthodox}
@attribute opponent_fights numeric
@attribute opponent_won numeric

@attribute opponent_last6_score numeric

@attribute opponent_last2 {'{w,l}','{l,w}','{d,l}','{l,l}','{w,w}','{w,d}','{d,d}','{l,d}','{d,w}'}

@attribute boxer_age2 numeric
@attribute opponent_age2 numeric


@data
W,Mexico,12,'super featherweight',LOCAL,7,orthodox,27,93,6,'{w,w}',VISITANTE,15,southpaw,52,56,-2,'{w,w}',29,34
W,Japan,8,featherweight,LOCAL,13,orthodox,32,50,3,'{w,w}',LOCAL,7,orthodox,19,58,0,'{l,w}',32,33
L,Thailand,12,flyweight,VISITANTE,5,orthodox,25,36,-5,'{d,l}',LOCAL,3,orthodox,16,100,6,'{w,w}',23,21
W,Serbia,6,'light heavyweight',VISITANTE,2,orthodox,16,94,6,'{w,w}',VISITANTE,5,orthodox,28,46,0,'{l,w}',31,32
L,France,8,heavyweight,VISITANTE,7,orthodox,32,91,3,'{w,l}',VISITANTE,4,orthodox,19,95,4,'{w,l}',37,28
W,USA,10,heavyweight,LOCAL,3,orthodox,16,100,6,'{w,w}',VISITANTE,10,orthodox,26,92,4,'{w,w}',28,27
L,USA,10,middleweight,VISITANTE,4,southpaw,18,94,4,'{l,w}',VISITANTE,5,orthodox,18,94,4,'{w,w}',24,31
L,Italy,12,lightweight,LOCAL,9,orthodox,28,89,3,'{w,w}',VISITANTE,2,orthodox,27,67,0,'{l,w}',39,20
L,Japan,8,'super featherweight',LOCAL,4,southpaw,10,90,4,'{w,w}',LOCAL,2,southpaw,10,100,6,'{w,w}',23,19
L,Japan,8,flyweight,LOCAL,5,orthodox,10,70,1,'{l,l}',LOCAL,5,southpaw,10,60,2,'{w,l}',25,25
W,Japan,8,'super bantamweight',LOCAL,6,southpaw,16,63,3,'{d,l}',VISITANTE,12,southpaw,26,77,5,'{w,w}',24,31
W,Philippines,10,'light flyweight',LOCAL,3,southpaw,15,53,4,'{w,d}',LOCAL,3,orthodox,13,69,2,'{l,w}',21,20
L,Germany,10,cruiserweight,VISITANTE,7,orthodox,20,80,0,'{w,l}',LOCAL,2,orthodox,14,100,6,'{w,w}',29,21
W,France,8,middleweight,LOCAL,6,orthodox,23,96,4,'{w,w}',VISITANTE,5,orthodox,28,64,2,'{l,w}',26,31
W,Philippines,10,'super bantamweight',LOCAL,10,orthodox,29,90,4,'{w,w}',LOCAL,9,southpaw,32,66,0,'{l,l}',32,30
W,Thailand,10,'light flyweight',LOCAL,7,orthodox,30,87,6,'{w,w}',VISITANTE,3,orthodox,10,100,6,'{w,w}',23,20
L,Japan,8,featherweight,LOCAL,3,orthodox,11,91,4,'{w,l}',LOCAL,10,orthodox,28,82,4,'{w,w}',21,30
W,USA,8,'light heavyweight',LOCAL,12,orthodox,29,86,0,'{l,l}',LOCAL,11,orthodox,38,53,3,'{d,w}',35,37
W,Philippines,12,'light flyweight',LOCAL,3,orthodox,15,100,6,'{w,w}',VISITANTE,7,orthodox,24,75,2,'{w,w}',20,25
W,Canada,8,middleweight,VISITANTE,3,orthodox,15,80,5,'{w,w}',VISITANTE,1,orthodox,7,71,3,'{l,w}',25,25
L,Thailand,12,'super flyweight',VISITANTE,3,orthodox,15,87,4,'{l,w}',LOCAL,9,southpaw,39,95,3,'{w,w}',20,25
W,Mexico,8,'super bantamweight',LOCAL,14,orthodox,36,67,0,'{l,l}',LOCAL,5,orthodox,39,36,-1,'{l,w}',33,29
W,Japan,8,bantamweight,LOCAL,10,orthodox,28,79,4,'{w,w}',LOCAL,9,orthodox,23,61,1,'{w,l}',29,29
L,USA,6,welterweight,VISITANTE,6,orthodox,10,40,1,'{w,w}',LOCAL,1,orthodox,13,100,6,'{w,w}',26,18
L,Philippines,8,'super flyweight',LOCAL,1,southpaw,6,83,4,'{w,l}',LOCAL,1,orthodox,7,100,6,'{w,w}',19,20
W,'United Kingdom',3,middleweight,LOCAL,1,orthodox,23,78,1,'{l,w}',LOCAL,2,orthodox,13,100,6,'{w,w}',25,20
L,Philippines,10,bantamweight,LOCAL,7,southpaw,41,27,-5,'{d,l}',LOCAL,7,orthodox,17,59,-2,'{l,w}',30,24
L,Japan,10,'super flyweight',LOCAL,4,orthodox,14,79,3,'{w,d}',LOCAL,4,southpaw,15,93,5,'{d,w}',27,26
L,Japan,8,bantamweight,LOCAL,3,orthodox,8,75,4,'{w,w}',LOCAL,7,orthodox,19,74,4,'{w,w}',23,25
W,Turkey,12,heavyweight,VISITANTE,15,southpaw,44,89,0,'{w,l}',VISITANTE,8,orthodox,22,91,2,'{w,l}',43,35
L,Italy,12,'super featherweight',VISITANTE,9,orthodox,25,60,4,'{l,w}',LOCAL,9,orthodox,34,94,4,'{w,w}',30,31
D,Japan,8,bantamweight,LOCAL,8,orthodox,27,81,0,'{l,w}',LOCAL,6,orthodox,17,65,2,'{w,l}',29,26
W,Argentina,6,welterweight,LOCAL,3,orthodox,16,100,6,'{w,w}',LOCAL,4,orthodox,19,68,0,'{l,l}',24,24
L,USA,8,welterweight,VISITANTE,13,orthodox,24,58,0,'{w,l}',LOCAL,3,orthodox,9,100,6,'{w,w}',35,24
L,Mexico,10,'super lightweight',LOCAL,6,orthodox,13,62,2,'{w,w}',LOCAL,2,southpaw,11,82,4,'{w,w}',23,31
L,USA,10,middleweight,LOCAL,4,orthodox,16,100,6,'{w,w}',LOCAL,3,orthodox,17,94,5,'{w,w}',23,22
L,Brazil,12,middleweight,VISITANTE,5,orthodox,31,61,2,'{w,l}',LOCAL,3,orthodox,13,92,4,'{w,w}',24,23
W,USA,12,welterweight,LOCAL,6,orthodox,20,100,6,'{w,w}',VISITANTE,5,orthodox,22,100,6,'{w,w}',24,27
W,Japan,8,bantamweight,LOCAL,3,orthodox,9,67,2,'{w,l}',LOCAL,8,orthodox,16,38,-2,'{l,w}',23,28
L,Indonesia,10,flyweight,LOCAL,12,orthodox,51,39,-6,'{l,l}',LOCAL,5,orthodox,15,53,4,'{w,l}',27,25
W,Argentina,4,welterweight,LOCAL,4,orthodox,10,60,3,'{w,w}',VISITANTE,3,orthodox,6,67,3,'{w,w}',24,28
L,Brazil,6,heavyweight,LOCAL,1,orthodox,9,89,5,'{w,w}',LOCAL,2,orthodox,9,100,6,'{w,w}',25,28
W,Philippines,10,minimumweight,LOCAL,2,southpaw,13,69,1,'{d,w}',LOCAL,2,orthodox,14,43,-3,'{l,l}',18,19
W,USA,10,'super welterweight',LOCAL,4,orthodox,15,100,6,'{w,w}',LOCAL,3,orthodox,11,100,6,'{w,w}',21,21
W,Argentina,6,lightweight,LOCAL,11,orthodox,27,89,5,'{d,w}',LOCAL,9,orthodox,32,53,-1,'{d,w}',33,32
L,Philippines,8,bantamweight,LOCAL,2,orthodox,9,78,5,'{w,w}',LOCAL,5,orthodox,14,36,-2,'{l,w}',20,25
W,USA,6,'super welterweight',LOCAL,3,orthodox,13,77,2,'{w,l}',VISITANTE,8,orthodox,15,40,-5,'{l,l}',23,31
W,Mexico,10,flyweight,LOCAL,3,orthodox,14,43,-1,'{w,l}',LOCAL,3,orthodox,13,85,4,'{w,w}',22,22
W,USA,8,heavyweight,LOCAL,4,orthodox,24,96,4,'{w,w}',LOCAL,6,orthodox,26,73,4,'{l,w}',31,33
L,Argentina,8,heavyweight,LOCAL,8,orthodox,57,91,4,'{w,w}',LOCAL,3,orthodox,20,55,-3,'{l,w}',37,29
W,Australia,8,'super featherweight',LOCAL,10,orthodox,47,53,2,'{w,w}',VISITANTE,10,orthodox,25,88,6,'{w,w}',28,28
L,Germany,4,heavyweight,LOCAL,4,orthodox,21,33,0,'{w,w}',VISITANTE,14,orthodox,45,69,-2,'{l,l}',31,35
D,China,10,featherweight,VISITANTE,11,southpaw,23,78,6,'{w,w}',VISITANTE,2,orthodox,12,92,6,'{w,w}',30,25
W,USA,8,featherweight,LOCAL,5,southpaw,20,100,6,'{w,w}',VISITANTE,8,orthodox,27,81,2,'{l,l}',23,31
W,Nicaragua,4,'super bantamweight',LOCAL,1,orthodox,16,19,-4,'{l,l}',LOCAL,0,orthodox,6,50,1,'{l,l}',18,27
L,Mexico,10,'super flyweight',LOCAL,3,southpaw,18,44,3,'{w,w}',LOCAL,3,orthodox,17,76,4,'{w,w}',25,19
W,Russia,8,'light heavyweight',LOCAL,5,orthodox,8,100,6,'{w,w}',VISITANTE,13,orthodox,34,38,-4,'{l,l}',28,33
L,Italy,12,'super lightweight',VISITANTE,6,orthodox,22,50,4,'{w,w}',VISITANTE,11,orthodox,50,88,2,'{w,w}',30,31
W,USA,12,welterweight,LOCAL,9,orthodox,33,88,4,'{w,l}',LOCAL,8,southpaw,34,85,3,'{w,l}',27,25
L,'United Kingdom',4,'super middleweight',LOCAL,6,orthodox,29,41,-6,'{l,l}',LOCAL,2,orthodox,10,100,6,'{w,w}',26,29
W,Indonesia,6,'light flyweight',LOCAL,12,orthodox,46,67,4,'{w,w}',LOCAL,6,orthodox,31,48,-6,'{l,l}',29,23
L,Italy,6,'light heavyweight',VISITANTE,1,southpaw,7,71,4,'{w,w}',LOCAL,5,orthodox,16,69,6,'{w,w}',18,29
L,USA,10,middleweight,VISITANTE,3,orthodox,22,100,6,'{w,w}',VISITANTE,6,southpaw,23,100,6,'{w,w}',23,31
W,USA,12,'super middleweight',LOCAL,5,southpaw,19,95,4,'{w,l}',VISITANTE,7,orthodox,31,100,6,'{w,w}',26,30
W,Australia,6,'super middleweight',LOCAL,3,orthodox,12,92,6,'{w,w}',VISITANTE,6,southpaw,26,50,-2,'{w,l}',21,30
W,Ukraine,12,cruiserweight,LOCAL,4,orthodox,16,100,6,'{w,w}',VISITANTE,3,orthodox,14,93,4,'{w,w}',25,28
L,Mexico,10,bantamweight,LOCAL,4,orthodox,19,79,2,'{l,w}',LOCAL,13,orthodox,41,68,2,'{w,l}',27,28
W,'United Kingdom',6,'super bantamweight',LOCAL,2,southpaw,12,92,4,'{w,w}',VISITANTE,3,orthodox,9,67,0,'{w,l}',23,29
L,Germany,8,heavyweight,VISITANTE,8,orthodox,27,85,0,'{w,l}',VISITANTE,7,orthodox,25,100,6,'{w,w}',35,35
L,Argentina,10,'super featherweight',LOCAL,9,orthodox,33,52,4,'{w,l}',LOCAL,8,orthodox,32,81,0,'{w,l}',29,28
D,Hungary,6,featherweight,LOCAL,2,orthodox,8,100,6,'{w,w}',VISITANTE,5,orthodox,15,53,1,'{l,w}',23,29
L,France,6,'light heavyweight',VISITANTE,8,orthodox,36,28,0,'{l,w}',LOCAL,3,orthodox,22,91,5,'{w,w}',37,24
L,Japan,8,bantamweight,LOCAL,5,orthodox,14,50,0,'{d,l}',LOCAL,8,southpaw,21,62,2,'{w,w}',27,23
W,Thailand,12,'super flyweight',LOCAL,9,southpaw,38,95,3,'{l,w}',VISITANTE,4,southpaw,28,79,2,'{w,l}',25,19
W,Mexico,8,featherweight,LOCAL,3,orthodox,20,90,3,'{w,l}',LOCAL,7,orthodox,32,69,0,'{l,w}',20,27
L,Canada,12,welterweight,VISITANTE,6,orthodox,20,90,5,'{w,d}',LOCAL,3,orthodox,19,100,6,'{w,w}',29,25
W,Mexico,10,'super lightweight',LOCAL,8,orthodox,33,94,4,'{w,l}',LOCAL,11,orthodox,39,69,0,'{l,l}',29,34
L,Argentina,4,cruiserweight,LOCAL,9,orthodox,43,30,0,'{l,l}',LOCAL,3,orthodox,11,64,2,'{w,l}',32,25
L,Japan,4,'super welterweight',LOCAL,4,orthodox,6,50,2,'{d,l}',LOCAL,5,orthodox,6,50,0,'{w,l}',23,23
L,'United Kingdom',10,welterweight,VISITANTE,9,orthodox,66,56,-2,'{w,l}',LOCAL,14,southpaw,32,84,1,'{w,l}',25,34
W,Panama,6,flyweight,VISITANTE,5,orthodox,17,100,6,'{w,w}',LOCAL,5,southpaw,16,69,2,'{w,w}',24,26
L,USA,8,'super middleweight',LOCAL,4,orthodox,12,92,4,'{l,w}',VISITANTE,5,southpaw,15,93,4,'{l,w}',24,33
L,Argentina,12,'light heavyweight',LOCAL,13,orthodox,45,80,6,'{w,w}',LOCAL,7,orthodox,30,97,6,'{w,w}',36,33
L,'New Zealand',10,'light heavyweight',LOCAL,2,orthodox,6,67,2,'{l,w}',LOCAL,6,southpaw,28,89,4,'{l,w}',31,30
W,Panama,8,'light flyweight',LOCAL,6,orthodox,23,74,0,'{w,w}',LOCAL,4,orthodox,9,89,4,'{l,w}',25,22
W,Ireland,10,middleweight,VISITANTE,8,orthodox,27,93,6,'{w,w}',VISITANTE,5,orthodox,38,89,2,'{w,w}',26,28
D,Japan,8,featherweight,LOCAL,6,orthodox,18,61,4,'{d,w}',LOCAL,7,orthodox,19,63,2,'{w,l}',24,30
L,Thailand,6,flyweight,VISITANTE,3,orthodox,14,43,-6,'{l,l}',LOCAL,2,orthodox,13,92,6,'{w,w}',25,22
W,Mexico,12,flyweight,LOCAL,10,orthodox,38,84,2,'{w,w}',VISITANTE,13,southpaw,40,73,2,'{l,w}',29,33
W,Mexico,10,middleweight,LOCAL,2,southpaw,19,100,6,'{w,w}',VISITANTE,8,orthodox,28,86,4,'{w,w}',19,31
W,USA,12,welterweight,VISITANTE,19,southpaw,62,89,2,'{l,w}',LOCAL,10,orthodox,31,100,6,'{w,w}',35,30
W,USA,12,welterweight,LOCAL,6,orthodox,21,100,6,'{w,w}',VISITANTE,12,orthodox,39,72,2,'{w,w}',24,30
L,Mexico,8,bantamweight,LOCAL,2,orthodox,7,86,5,'{d,w}',LOCAL,11,southpaw,10,50,-2,'{l,w}',21,30
L,Finland,6,'light heavyweight',VISITANTE,12,southpaw,70,13,-4,'{l,d}',LOCAL,9,orthodox,31,77,2,'{w,l}',33,34
L,Ukraine,8,'super welterweight',VISITANTE,9,orthodox,26,77,0,'{l,w}',LOCAL,2,orthodox,6,100,6,'{w,w}',26,24
L,USA,10,'light heavyweight',LOCAL,16,orthodox,45,89,4,'{w,w}',VISITANTE,5,southpaw,19,95,6,'{w,w}',35,27
L,Philippines,12,'super flyweight',VISITANTE,4,orthodox,16,81,4,'{l,w}',LOCAL,7,orthodox,26,100,6,'{w,w}',24,24
W,Australia,6,welterweight,LOCAL,2,orthodox,8,88,5,'{d,w}',VISITANTE,2,orthodox,12,67,0,'{l,w}',25,22
L,'United Kingdom',10,'super welterweight',LOCAL,9,orthodox,20,70,1,'{l,w}',LOCAL,3,southpaw,8,100,6,'{w,w}',30,24
L,Argentina,12,'super lightweight',LOCAL,3,orthodox,13,77,3,'{w,w}',LOCAL,2,orthodox,15,100,6,'{w,w}',26,23
W,France,10,'super middleweight',LOCAL,6,orthodox,18,83,2,'{w,w}',LOCAL,6,orthodox,21,90,2,'{l,w}',27,26
L,Philippines,10,bantamweight,LOCAL,7,southpaw,25,40,-6,'{l,l}',LOCAL,6,southpaw,31,74,2,'{w,d}',25,24
L,Brazil,4,middleweight,LOCAL,8,orthodox,23,87,2,'{w,w}',LOCAL,5,orthodox,10,100,6,'{w,w}',34,23
L,Japan,8,'super featherweight',LOCAL,4,orthodox,15,60,4,'{l,w}',LOCAL,4,orthodox,13,92,5,'{w,w}',25,23
W,USA,12,'light heavyweight',LOCAL,8,southpaw,25,88,2,'{w,l}',VISITANTE,12,orthodox,53,79,4,'{w,w}',36,36
W,'Puerto Rico',12,'super lightweight',LOCAL,4,orthodox,22,100,6,'{w,w}',VISITANTE,9,southpaw,33,88,2,'{l,w}',24,30
W,USA,4,'super welterweight',LOCAL,2,southpaw,9,100,6,'{w,w}',LOCAL,5,orthodox,24,58,0,'{l,w}',24,28
W,'South Africa',12,bantamweight,LOCAL,9,southpaw,22,82,3,'{w,l}',VISITANTE,1,orthodox,7,100,6,'{w,w}',29,15
W,France,12,middleweight,LOCAL,8,orthodox,26,100,6,'{w,w}',VISITANTE,8,orthodox,25,96,6,'{w,w}',28,27
L,USA,6,heavyweight,LOCAL,5,orthodox,13,38,0,'{w,l}',LOCAL,5,orthodox,10,90,5,'{w,w}',29,25
L,Mexico,10,'super featherweight',LOCAL,11,orthodox,35,83,2,'{l,w}',LOCAL,4,orthodox,24,96,4,'{w,w}',28,22
L,Italy,12,'super welterweight',LOCAL,8,orthodox,26,88,2,'{w,w}',LOCAL,4,orthodox,18,100,6,'{w,w}',32,29
L,Thailand,12,featherweight,VISITANTE,11,orthodox,72,47,0,'{l,w}',LOCAL,5,orthodox,25,100,6,'{w,w}',30,23
L,USA,10,heavyweight,LOCAL,9,orthodox,34,82,0,'{l,w}',LOCAL,16,orthodox,42,83,2,'{w,w}',32,40
L,'Puerto Rico',10,'super bantamweight',VISITANTE,14,orthodox,44,57,-4,'{w,l}',LOCAL,7,orthodox,21,90,4,'{w,w}',32,27
L,'United Kingdom',10,'super welterweight',LOCAL,14,orthodox,49,69,-4,'{l,l}',LOCAL,4,southpaw,17,100,6,'{w,w}',32,27
W,'United Kingdom',10,'super welterweight',LOCAL,4,southpaw,17,100,6,'{w,w}',LOCAL,14,orthodox,49,69,-4,'{l,l}',27,32
W,USA,8,heavyweight,LOCAL,3,orthodox,17,94,4,'{l,w}',LOCAL,3,orthodox,28,46,-4,'{l,l}',26,33
L,Philippines,12,bantamweight,LOCAL,3,orthodox,14,57,2,'{l,w}',LOCAL,2,southpaw,13,69,3,'{w,w}',21,21
L,Germany,10,'super lightweight',VISITANTE,7,orthodox,27,93,2,'{w,l}',VISITANTE,7,orthodox,26,92,2,'{l,w}',22,29
W,Philippines,8,flyweight,LOCAL,4,orthodox,20,90,6,'{w,w}',LOCAL,5,orthodox,25,32,-4,'{l,w}',22,27
D,USA,12,featherweight,VISITANTE,4,orthodox,19,100,6,'{w,w}',VISITANTE,7,orthodox,22,100,6,'{w,w}',27,26
W,Japan,8,bantamweight,VISITANTE,10,southpaw,19,74,6,'{w,w}',VISITANTE,3,southpaw,7,43,0,'{w,w}',29,29
W,China,12,lightweight,VISITANTE,8,orthodox,36,92,6,'{w,w}',VISITANTE,11,southpaw,34,97,6,'{w,w}',27,28
W,'New Zealand',3,cruiserweight,VISITANTE,5,orthodox,16,94,4,'{w,l}',VISITANTE,9,southpaw,37,78,2,'{l,l}',32,31
W,USA,6,featherweight,LOCAL,2,orthodox,9,100,6,'{w,w}',VISITANTE,3,orthodox,11,55,2,'{w,w}',20,19
L,Japan,8,bantamweight,LOCAL,6,orthodox,21,48,0,'{w,l}',LOCAL,5,orthodox,13,77,3,'{w,d}',30,24
L,Brazil,8,cruiserweight,VISITANTE,7,orthodox,25,40,2,'{l,w}',LOCAL,6,orthodox,20,100,6,'{w,w}',35,32
L,Argentina,11,'super flyweight',VISITANTE,4,orthodox,17,76,3,'{l,w}',LOCAL,5,orthodox,19,100,6,'{w,w}',25,26
W,Philippines,12,bantamweight,LOCAL,6,southpaw,27,93,6,'{w,w}',VISITANTE,2,orthodox,21,95,6,'{w,w}',22,25
W,Argentina,6,lightweight,LOCAL,3,orthodox,16,88,5,'{d,w}',LOCAL,11,orthodox,38,47,-4,'{l,w}',25,34
W,Argentina,6,cruiserweight,LOCAL,9,orthodox,26,62,2,'{w,w}',LOCAL,4,orthodox,16,88,4,'{l,w}',32,29
W,'United Kingdom',6,cruiserweight,LOCAL,7,orthodox,13,77,3,'{w,l}',LOCAL,5,orthodox,65,8,0,'{l,l}',31,24
W,Philippines,10,bantamweight,LOCAL,2,orthodox,10,90,5,'{w,d}',LOCAL,3,orthodox,14,79,0,'{l,l}',22,20
L,Nicaragua,6,'light flyweight',LOCAL,2,orthodox,10,100,6,'{w,w}',LOCAL,0,orthodox,7,71,4,'{w,w}',20,21
W,Australia,12,middleweight,LOCAL,10,orthodox,34,82,4,'{l,w}',VISITANTE,25,orthodox,117,85,4,'{l,w}',29,40
W,'United Kingdom',12,'super middleweight',LOCAL,2,orthodox,12,100,6,'{w,w}',VISITANTE,5,southpaw,18,78,6,'{w,w}',26,23
W,USA,12,'super welterweight',LOCAL,5,southpaw,19,100,6,'{w,w}',LOCAL,8,orthodox,34,97,5,'{d,w}',25,27
L,Brazil,8,'super welterweight',VISITANTE,4,orthodox,11,55,-4,'{l,w}',LOCAL,6,orthodox,16,81,1,'{w,w}',30,24
W,'New Zealand',4,heavyweight,LOCAL,2,orthodox,9,67,2,'{w,l}',LOCAL,2,orthodox,8,0,-4,'{d,d}',32,36
W,USA,10,'super featherweight',LOCAL,4,orthodox,15,100,6,'{w,w}',LOCAL,4,southpaw,17,76,-1,'{w,l}',24,22
W,USA,10,heavyweight,LOCAL,8,orthodox,30,63,1,'{w,d}',LOCAL,11,orthodox,37,62,-4,'{l,l}',34,36
L,Argentina,4,flyweight,LOCAL,4,orthodox,13,46,1,'{l,w}',LOCAL,2,orthodox,10,80,2,'{l,l}',26,23
L,Russia,12,'light heavyweight',LOCAL,3,orthodox,12,100,6,'{w,w}',LOCAL,6,orthodox,17,94,4,'{w,w}',27,29
L,'United Kingdom',12,welterweight,LOCAL,4,orthodox,18,100,6,'{w,w}',LOCAL,5,southpaw,21,95,4,'{l,w}',26,28
L,USA,12,middleweight,LOCAL,9,orthodox,28,89,4,'{w,w}',VISITANTE,7,orthodox,27,100,6,'{w,w}',28,31
L,Ukraine,8,cruiserweight,VISITANTE,3,orthodox,28,61,-4,'{l,l}',LOCAL,7,orthodox,21,95,4,'{w,l}',29,28
L,Argentina,4,'super lightweight',LOCAL,9,orthodox,36,31,-5,'{l,l}',LOCAL,4,southpaw,14,93,4,'{w,l}',34,27
L,Argentina,8,'super featherweight',LOCAL,1,orthodox,7,29,-2,'{l,w}',LOCAL,3,orthodox,15,47,4,'{l,w}',27,28
D,Japan,6,bantamweight,LOCAL,11,orthodox,23,52,-3,'{l,w}',LOCAL,5,orthodox,18,61,3,'{d,l}',31,29
W,Italy,6,lightweight,LOCAL,5,orthodox,17,76,0,'{w,l}',VISITANTE,4,southpaw,29,24,0,'{l,l}',32,32
W,Australia,4,featherweight,VISITANTE,9,orthodox,33,45,-2,'{l,w}',VISITANTE,1,orthodox,6,100,6,'{w,w}',26,19
W,Philippines,10,'super flyweight',LOCAL,2,orthodox,10,100,6,'{w,w}',LOCAL,7,southpaw,24,42,-6,'{l,l}',19,25
L,Thailand,12,'super flyweight',VISITANTE,4,southpaw,12,75,3,'{l,w}',LOCAL,4,southpaw,26,85,6,'{w,w}',27,26
W,Thailand,6,minimumweight,LOCAL,13,orthodox,54,85,4,'{w,w}',VISITANTE,5,orthodox,16,69,-3,'{d,l}',30,22
W,'United Kingdom',8,'super middleweight',LOCAL,4,orthodox,9,100,6,'{w,w}',VISITANTE,4,orthodox,37,35,-6,'{l,l}',26,29
L,USA,10,'super welterweight',LOCAL,4,southpaw,21,100,6,'{w,w}',LOCAL,12,orthodox,39,69,4,'{l,w}',24,40
W,Germany,8,heavyweight,VISITANTE,5,orthodox,21,95,4,'{w,l}',VISITANTE,7,orthodox,21,57,-4,'{l,l}',26,33
W,Panama,6,bantamweight,LOCAL,4,orthodox,10,20,-3,'{l,l}',LOCAL,2,orthodox,7,100,6,'{w,w}',24,21
L,Japan,4,flyweight,LOCAL,2,orthodox,7,43,0,'{w,l}',LOCAL,2,orthodox,6,50,1,'{w,l}',28,24
W,'United Kingdom',10,'light heavyweight',LOCAL,2,orthodox,8,100,6,'{w,w}',LOCAL,4,orthodox,11,100,6,'{w,w}',25,26
L,Kenya,6,'light heavyweight',VISITANTE,22,orthodox,70,56,-1,'{l,l}',VISITANTE,7,southpaw,27,63,1,'{l,d}',43,29
W,Japan,8,'super featherweight',LOCAL,3,orthodox,10,60,2,'{w,w}',LOCAL,14,orthodox,39,56,2,'{w,w}',29,37
L,Ukraine,8,cruiserweight,VISITANTE,15,orthodox,66,64,2,'{w,w}',LOCAL,2,orthodox,13,100,6,'{w,w}',34,26
L,Australia,10,'super lightweight',LOCAL,5,orthodox,16,75,4,'{w,w}',LOCAL,2,orthodox,7,86,6,'{w,w}',28,24
L,Nicaragua,6,'light flyweight',LOCAL,3,orthodox,17,18,-3,'{l,l}',LOCAL,2,orthodox,8,100,6,'{w,w}',18,20
L,USA,12,middleweight,LOCAL,5,orthodox,19,89,4,'{l,w}',LOCAL,6,orthodox,24,92,4,'{w,w}',27,29
L,Japan,8,featherweight,LOCAL,4,orthodox,14,50,-1,'{l,l}',LOCAL,5,southpaw,13,85,4,'{w,l}',22,22
W,Mexico,10,flyweight,LOCAL,6,southpaw,23,78,0,'{w,w}',VISITANTE,6,orthodox,14,71,0,'{w,w}',30,30
L,Panama,8,'light flyweight',LOCAL,8,southpaw,23,35,-6,'{l,l}',LOCAL,2,orthodox,8,100,6,'{w,w}',27,19
L,Japan,8,'super lightweight',LOCAL,5,southpaw,17,82,6,'{w,w}',LOCAL,4,orthodox,12,100,6,'{w,w}',23,26
W,Argentina,10,lightweight,LOCAL,8,orthodox,29,97,5,'{w,w}',LOCAL,9,orthodox,49,53,3,'{l,w}',27,31
W,Indonesia,12,bantamweight,LOCAL,11,orthodox,34,76,-1,'{l,l}',LOCAL,10,orthodox,41,41,-6,'{l,l}',30,30
W,Australia,6,bantamweight,LOCAL,6,orthodox,15,87,4,'{l,w}',VISITANTE,12,orthodox,35,43,-4,'{l,l}',24,33
D,France,12,'super welterweight',VISITANTE,13,orthodox,50,84,2,'{w,w}',LOCAL,13,orthodox,37,95,4,'{l,w}',35,33
L,'United Kingdom',4,'light heavyweight',LOCAL,3,orthodox,21,24,-1,'{w,w}',LOCAL,4,orthodox,19,79,1,'{l,w}',29,23
W,Panama,12,minimumweight,LOCAL,2,orthodox,7,86,6,'{w,w}',LOCAL,7,southpaw,20,40,-4,'{l,l}',21,26
W,Italy,6,middleweight,LOCAL,4,orthodox,19,74,5,'{w,w}',VISITANTE,3,orthodox,30,43,-4,'{l,w}',31,28
W,Philippines,12,minimumweight,LOCAL,2,southpaw,13,100,6,'{w,w}',LOCAL,4,orthodox,32,50,-2,'{w,l}',26,21
