@relation basefightstraining
@attribute fight_outcome {D,L,W}

@attribute fight_country {Japan,Philippines,Nicaragua,Thailand,Panama,Indonesia,Mexico,Argentina,'United Kingdom','South Africa',Brazil,France,Australia,USA,'Costa Rica',Ecuador,Colombia,Bolivia,Belgium,China,Canada,Tanzania,Spain,Chile,Russia,'Dominican Republic',Belarus,Italy,Kyrgyzstan,Kazakhstan,Venezuela,Namibia,Monaco,Laos,Georgia,Finland,Switzerland,Hungary,Germany,'Czech Republic','New Zealand',Croatia,'Puerto Rico',Singapore,Poland,Denmark,Macedonia,Ukraine,Ireland,Latvia,Slovakia,Austria,'Bosnia And Herzegovina',Slovenia,Azerbaijan,Honduras,Peru,Romania,'South Korea','United Arab Emirates',Haiti,Luxembourg,Estonia,Turkey,Netherlands,Greece,Martinique,Albania,'Trinidad And Tobago','French Polynesia',Sweden,Uruguay,Kenya,Kosovo,Serbia,Morocco,Ghana,Egypt,Uganda,Portugal,'Congo (Democratic Republic Of The)',Montenegro,Moldova,Lithuania,Algeria,Guyana,Fiji,Bulgaria,Aruba,Timor-Leste,Malta,'U.S. Virgin Islands','New Caledonia',Paraguay,Uzbekistan,Benin}

@attribute fight_scheduled {3,4,5,6,8,9,10,11,12}

@attribute fight_division {bantamweight,cruiserweight,featherweight,flyweight,heavyweight,'light flyweight','light heavyweight',lightweight,middleweight,minimumweight,'super bantamweight','super featherweight','super flyweight','super lightweight','super middleweight','super welterweight',welterweight}

@attribute boxer_localOvisitante {LOCAL,VISITANTE}
@attribute boxer_years_since_debut numeric

@attribute boxer_stance {orthodox,southpaw}
@attribute boxer_fights numeric

@attribute boxer_won numeric
@attribute Boxer_last_6_score numeric
@attribute boxer_last2 {'{w,l}','{d,l}','{l,w}','{l,l}','{w,w}','{w,d}','{d,w}','{d,d}','{l,d}'}
@attribute opponent_localOvisitante {LOCAL,VISITANTE}

@attribute opponent_years_since-debut numeric

@attribute opponent_stance {southpaw,orthodox}
@attribute opponent_fights numeric
@attribute opponent_won numeric

@attribute opponent_last6_score numeric

@attribute opponent_last2 {'{w,l}','{l,w}','{d,l}','{l,l}','{w,w}','{w,d}','{d,d}','{l,d}','{d,w}'}

@attribute boxer_age2 numeric
@attribute opponent_age2 numeric


@data
W,Monaco,12,middleweight,VISITANTE,7,orthodox,30,93,4,'{w,w}',VISITANTE,12,orthodox,44,89,4,'{l,w}',31,33
L,Mexico,12,featherweight,LOCAL,9,orthodox,30,73,4,'{w,w}',VISITANTE,5,orthodox,24,100,6,'{w,w}',26,21
W,Spain,6,featherweight,LOCAL,6,orthodox,14,64,3,'{w,l}',VISITANTE,9,orthodox,34,68,0,'{l,w}',32,29
L,Japan,8,welterweight,LOCAL,8,orthodox,20,40,-6,'{l,l}',LOCAL,9,orthodox,14,64,1,'{w,l}',28,27
L,'United Kingdom',12,'super middleweight',LOCAL,6,orthodox,20,95,4,'{w,l}',LOCAL,12,orthodox,34,94,4,'{w,w}',26,36
L,Brazil,12,'super welterweight',VISITANTE,4,orthodox,18,94,4,'{w,w}',LOCAL,12,orthodox,49,84,2,'{w,w}',26,34
L,Argentina,10,'super welterweight',LOCAL,7,orthodox,28,64,-3,'{l,l}',LOCAL,2,orthodox,10,90,6,'{w,w}',32,22
L,Argentina,12,welterweight,VISITANTE,5,orthodox,15,67,3,'{l,d}',LOCAL,3,orthodox,18,100,6,'{w,w}',24,25
W,Germany,8,'super middleweight',LOCAL,3,orthodox,13,92,6,'{w,w}',VISITANTE,2,southpaw,11,91,4,'{w,l}',18,22
W,Argentina,12,featherweight,LOCAL,1,southpaw,9,100,6,'{w,w}',LOCAL,2,orthodox,12,83,4,'{w,w}',22,26
W,Poland,10,'super middleweight',LOCAL,3,orthodox,17,88,4,'{w,w}',VISITANTE,2,orthodox,24,63,0,'{l,w}',27,35
W,Australia,10,'super bantamweight',LOCAL,1,orthodox,6,67,3,'{w,w}',VISITANTE,8,orthodox,30,47,-4,'{w,l}',20,25
L,Japan,8,'super featherweight',LOCAL,4,orthodox,14,64,4,'{w,w}',LOCAL,3,orthodox,14,43,-1,'{l,l}',21,28
W,'United Kingdom',10,welterweight,LOCAL,4,orthodox,11,91,6,'{w,w}',LOCAL,7,orthodox,12,92,4,'{w,w}',23,28
W,Finland,6,cruiserweight,LOCAL,8,orthodox,29,79,2,'{w,w}',VISITANTE,3,orthodox,31,55,-4,'{l,l}',33,29
L,Canada,12,welterweight,LOCAL,6,orthodox,24,96,4,'{w,w}',VISITANTE,10,southpaw,35,94,4,'{w,w}',29,32
W,France,6,'light heavyweight',LOCAL,5,orthodox,33,88,2,'{w,l}',LOCAL,5,southpaw,32,41,-2,'{w,l}',30,29
W,Germany,6,'light heavyweight',VISITANTE,15,orthodox,37,32,-4,'{l,l}',VISITANTE,2,southpaw,16,63,0,'{w,w}',38,19
L,Argentina,10,'light heavyweight',VISITANTE,8,orthodox,22,82,2,'{w,l}',LOCAL,7,orthodox,29,97,6,'{w,w}',26,33
W,Mexico,12,'super welterweight',LOCAL,6,orthodox,30,90,4,'{w,w}',VISITANTE,6,orthodox,30,73,2,'{w,w}',27,27
W,Philippines,12,'super flyweight',LOCAL,7,southpaw,30,70,4,'{w,w}',LOCAL,9,orthodox,32,66,2,'{w,l}',27,25
W,Mexico,10,lightweight,LOCAL,12,orthodox,60,82,6,'{w,w}',LOCAL,9,orthodox,29,79,4,'{w,l}',29,32
L,Philippines,10,'light flyweight',LOCAL,3,orthodox,13,54,2,'{d,d}',LOCAL,4,southpaw,23,61,4,'{w,d}',21,21
L,Philippines,12,'super featherweight',LOCAL,4,orthodox,15,73,4,'{w,l}',LOCAL,12,orthodox,63,41,1,'{l,l}',21,33
L,Argentina,12,middleweight,LOCAL,5,orthodox,32,59,0,'{l,l}',LOCAL,12,southpaw,42,62,0,'{w,w}',24,33
W,USA,6,heavyweight,VISITANTE,4,southpaw,16,94,6,'{w,w}',LOCAL,3,orthodox,21,38,1,'{w,d}',25,31
W,Mexico,12,'light flyweight',LOCAL,3,orthodox,15,93,5,'{w,d}',VISITANTE,3,orthodox,18,72,0,'{l,w}',21,22
L,USA,8,heavyweight,LOCAL,7,orthodox,13,69,5,'{w,w}',LOCAL,2,southpaw,15,93,6,'{w,w}',38,28
W,Mexico,12,'super lightweight',LOCAL,5,orthodox,24,96,6,'{w,w}',LOCAL,6,orthodox,22,73,2,'{l,w}',26,24
W,Germany,8,cruiserweight,VISITANTE,4,orthodox,19,95,4,'{w,l}',VISITANTE,11,southpaw,81,47,0,'{w,l}',29,39
L,USA,8,'super welterweight',VISITANTE,8,orthodox,27,52,2,'{w,w}',LOCAL,5,orthodox,17,100,6,'{w,w}',36,23
L,USA,4,heavyweight,LOCAL,11,orthodox,11,91,4,'{w,w}',LOCAL,4,orthodox,27,37,-2,'{l,w}',35,32
W,USA,10,'super lightweight',LOCAL,5,orthodox,15,93,6,'{w,w}',VISITANTE,7,southpaw,24,83,2,'{l,l}',30,33
L,Thailand,12,bantamweight,VISITANTE,9,southpaw,37,68,0,'{w,w}',LOCAL,7,orthodox,39,97,6,'{w,w}',29,23
W,Argentina,10,'super welterweight',VISITANTE,4,orthodox,18,94,4,'{w,w}',LOCAL,10,orthodox,66,77,4,'{w,w}',24,29
L,Philippines,10,flyweight,LOCAL,10,orthodox,36,25,-5,'{l,l}',LOCAL,2,orthodox,10,90,5,'{w,w}',27,20
L,China,6,'super flyweight',VISITANTE,2,orthodox,10,70,2,'{l,w}',VISITANTE,2,southpaw,10,100,6,'{w,w}',21,25
L,'United Kingdom',4,middleweight,VISITANTE,4,orthodox,31,42,-4,'{w,l}',LOCAL,8,orthodox,28,64,0,'{l,l}',29,26
W,Argentina,6,'super lightweight',LOCAL,5,southpaw,23,70,1,'{w,w}',LOCAL,4,southpaw,16,75,4,'{w,w}',27,24
W,'United Kingdom',12,'super featherweight',LOCAL,4,orthodox,14,93,4,'{l,w}',LOCAL,6,orthodox,15,80,3,'{w,w}',26,29
L,Argentina,10,'light heavyweight',VISITANTE,1,orthodox,11,82,6,'{w,w}',VISITANTE,5,orthodox,21,86,6,'{w,w}',31,27
W,'United Kingdom',10,heavyweight,LOCAL,6,orthodox,20,80,-2,'{l,w}',VISITANTE,13,orthodox,36,97,5,'{w,d}',29,32
L,Mexico,10,welterweight,LOCAL,8,orthodox,36,89,4,'{w,w}',LOCAL,3,orthodox,28,93,6,'{w,w}',29,21
L,Spain,10,lightweight,LOCAL,1,orthodox,8,75,4,'{w,w}',LOCAL,2,orthodox,9,89,5,'{w,w}',27,25
L,Japan,8,flyweight,LOCAL,8,orthodox,18,39,0,'{l,l}',LOCAL,4,orthodox,13,62,2,'{w,l}',28,21
L,Mexico,10,middleweight,LOCAL,21,orthodox,104,88,2,'{l,w}',LOCAL,8,orthodox,33,85,0,'{w,l}',36,27
